id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-24-1470-01A-01R-1566-13	0.0471733381829529	0	0.0231474721905173	0.109187683368762	0	0.225927278443183	0.0155106071274561	0.0617895453369432	0.100671169834996	0	0.0324283354503714	0	0.0236838258414437	0.0739347615165838	0.0742725067520047	0.168130811820922	0.037124884813162	0.00701777932070188	0	0	0	0
TCGA-29-1778-01A-01R-1567-13	0.038284948450171	0	0.122313775519708	0.0591614959749903	0	0.243685446202543	0	0.0194217122574205	0.0908006292954789	0	0	0.0578453097677112	0	0.0828532629463767	0.0445086318790868	0.187260925223265	0	0.0357630742940332	0.0181007881892152	0	0	0
TCGA-29-1766-01A-01R-1567-13	0.0518619022734385	0	0.0400051891002066	0.15965498919975	0	0.195363226719311	0	0.0294482517052302	0.0219058721063776	0	0	0.0778588291185478	0.0234846525549159	0.156676322857995	0.038795499553529	0.115399248024296	0	0.0638415646876581	0.0213281660908592	0	0.000208072961956905	0.00416821304592786
TCGA-29-1707-02A-01R-1567-13	0.0460977916168649	0	0.00845688261890447	0.0145550193797525	0	0.0523779263664699	0.00495545953865409	0.00839947856858394	0.0825656507418964	0	0.0444447006759794	0	0	0.401770135681849	0.0720986818105103	0.0817449185950525	0	0.131627344288034	0	0.0452145272486588	0	0.00569148286878993
TCGA-29-1688-01A-01R-1566-13	0.046570297475345	0	0.00240649652923441	0.0510239268494617	0	0.278652277110815	0	0.0296738963739178	0.0373884521044399	0	0.0383580270749306	0.0235543170202169	0.0234952492504637	0.127782744299559	0.115167348639371	0.204374006736643	0	0	0.0159241600719992	0	0	0.0056288004636021
TCGA-13-0906-01A-01R-1564-13	0.0704481753717499	0	0.0261342838102881	0.0906163965310724	0	0.237783432449447	0	0.0771169647798782	0.0721134909715123	0	0	0.0747533312816116	0.00983151800747616	0.0691444562906283	0.121263781999505	0.0216330868732234	0	0.129161081633608	0	0	0	0
TCGA-24-2261-01A-01R-1568-13	0.0330670543523667	0	0.0189378564912412	0.19092203630513	0	0.223040912788085	0.0301545482452707	0.05341943034321	0.0785765117737781	0	0.00345550499630045	0.0137911661563823	0.0840033356962026	0.00768657341459435	0.089956497066199	0.170194617752907	0.00232280679408059	0	0.000471147824252802	0	0	0
TCGA-13-1485-01A-02R-1565-13	0	0	0.014739018706269	0	0	0.197785625766986	0	0.0162836512935001	0.102267525965071	0	0.0353976092415787	0.0426446490376791	0	0.33109585722059	0	0.211404172903581	0.0141603163867828	0.000210356807862918	0	0.0340112166700999	0	0
TCGA-61-1911-01A-01R-1567-13	0.0325640781513642	0	0.164018332392915	0.261558437596822	0	0.0782036277758683	0	0.0272599119766614	0.0843379608348236	0	0	0.0796717100313126	0.0132205684938706	0.0390877407887094	0.0833740556665939	0.12233800456495	9.67907500180846e-05	0	0.0134551501372498	0	0	0.000813630838840859
TCGA-61-2104-01A-01R-1568-13	0.0471092989222166	0	0.0297457095432752	0.0566942301928592	0	0.223573439368984	0	0.0327653212570352	0.0460643687500406	0	0.0433626280593371	0	0.000450983353059476	0.150254134205874	0.14344907700878	0.138020888041293	0	0.0434189829496421	0	0.0398266940489119	0	0.00526424429869281
