date,JAN,Decile 1 Portfolio Excess Return,Decile 2 Portfolio Excess Return,Decile 3 Portfolio Excess Return,Decile 4 Portfolio Excess Return,Decile 5 Portfolio Excess Return,Decile 6 Portfolio Excess Return,Decile 7 Portfolio Excess Return,Decile 8 Portfolio Excess Return,Decile 9 Portfolio Excess Return,Decile 10 Portfolio Excess Return,NoDur Excess return,Durbl Excess return,Manuf Excess return,Enrgy Excess return,Chems Excess return,BusEq Excess return,Telcm Excess return,Utils Excess return,Shops Excess return,Hlth  Excess return,Money Excess return,Other Excess return,LT Gov Bonds excess return,LT Corp Bonds excess return,6month excess return,XEW,HB3,JUNK,DIV,TB1,XVW,PREM,delta slope,UI,CGNON,REALTB
02/1995,0,0.025968574,0.015911574,0.018815574,0.022470574,0.028268574,0.022944574,0.038334574,0.034362574,0.047020574,0.030972574,0.025800574,0.046500574,0.054100574,0.040600574,0.043200574,0.063500574,0.010900574,0.004000574,0.022700574,0.018200574,0.045100574,0.042200574,0.024462474,0.024700574,0.001146574,0.011891018,0.000962,0.000483333,0.002147758,0.004199426,0.033286574,0.0056237,-0.000191667,0.03966757,0.006,-9.00E-06
03/1995,0,-0.003941982,-0.007474982,-0.002165982,0.007071018,0.012364018,0.005665018,0.012813018,0.024163018,0.025079018,0.023017018,0.022471018,0.009571018,0.027171018,0.047871018,0.037271018,0.040771018,-0.002028982,-0.022328982,0.030171018,0.022071018,0.007271018,0.034471018,0.004317018,0.004671018,0.000817018,0.019799997,0.000179,0.000475,0.002092447,0.004828982,0.021810018,0.0016146,-5.00E-05,-0.004295396,-0.002,0.000821
04/1995,0,0.025040997,0.016427997,0.016601997,0.019782997,0.023110997,0.007995997,0.003128997,0.015790997,0.007111997,0.022943997,0.013604997,0.009304997,0.022104997,0.018604997,0.031804997,0.078304997,0.011104997,0.019004997,-0.021495003,0.025904997,0.011704997,0.010404997,0.012141197,0.012704997,0.001020997,0.02127071,0.000135,0.000458333,0.002035837,0.004795003,0.018884997,0.0085123,-0.000375,-0.011113169,0.007,0.001147
05/1995,0,0.02069771,0.02375571,0.02398871,0.02802371,0.02295771,0.01038371,0.01096371,0.02030571,0.02990071,0.03458471,0.04248071,0.04368071,0.02638071,0.03608071,0.02868071,0.02618071,0.00158071,0.05538071,0.02228071,0.01158071,0.05728071,-0.00451929,0.07430941,0.05838071,0.00072671,0.019512711,0.000422,0.0005,0.001983869,0.00471929,0.03099971,-0.0509952,-0.000216667,-0.004869261,0.005,0.00338
06/1995,0,0.029696711,0.017370711,0.009567711,0.026101711,0.020266711,0.017845711,0.022206711,0.029046711,0.018552711,0.015663711,0.012444711,0.003844711,0.022344711,-0.035355289,0.002644711,0.093644711,0.034144711,-0.009055289,0.044744711,0.040144711,0.012844711,0.028844711,0.009428011,0.003444711,0.000259711,0.030545836,0.000334,0.000525,0.001924216,0.004455289,0.017479711,-0.0075239,0.000133333,0.02439269,-0.002,0.002743
07/1995,0,0.039196836,0.018039836,0.024358836,0.031706836,0.028946836,0.035477836,0.037906836,0.035632836,0.035460836,0.027159836,0.007943836,0.021943836,0.040343836,0.018443836,0.007343836,0.074443836,0.046843836,-0.008356164,0.030843836,0.048543836,0.037343836,0.061243836,-0.021326964,-0.014656164,0.000213836,0.007702414,0.000414,0.000516667,0.001922699,0.004556164,0.029608836,0.0294092,0.000191667,-0.000965218,-0.005,0.004522
08/1995,0,0.018098414,0.011744414,0.007373414,0.006334414,0.014214414,0.018930414,0.008793414,0.009950414,0.009790414,-0.001479586,0.002310414,0.002710414,-0.006889586,-0.020589586,-0.004689586,-0.005789586,0.038810414,0.005310414,-0.032289586,0.005910414,0.047410414,-0.002589586,0.019124114,0.016910414,-9.16E-05,0.011383237,1.90E-05,0.000508333,0.001860267,0.004489586,0.002377414,-0.0204935,-0.000141667,-0.003773898,0.009,0.002014
09/1995,0,0.022374237,0.012139237,0.014673237,0.010524237,0.019394237,0.014292237,-5.78E-05,0.009431237,0.018213237,0.045655237,0.062419237,-0.009680763,0.010419237,0.008619237,0.036719237,0.008319237,0.051819237,0.057919237,0.023019237,0.070119237,0.053119237,0.009519237,0.013002137,0.010819237,0.000253237,-0.037834426,9.40E-05,0.000525,0.001860361,0.004480763,0.035155237,-0.0051904,-0.000133333,0.013381133,-0.009,0.002347
10/1995,0,-0.030103426,-0.027718426,-0.029534426,-0.034433426,-0.043228426,-0.053041426,-0.039647426,-0.019978426,-0.040134426,-0.005687426,-0.000599426,-0.051999426,-0.030599426,-0.006599426,-0.032099426,0.010500574,-0.005399426,0.010600574,-0.059199426,0.007300574,-0.023399426,-0.028299426,0.025208474,0.014300574,0.000620574,0.028465949,0.000361,0.00055,0.001832639,0.004199426,-0.015398426,-0.0232379,-0.000158333,-0.014927741,0.011,0.00145
11/1995,0,0.029486949,0.010907949,0.024935949,0.025106949,0.035733949,0.025418949,0.035098949,0.044254949,0.049364949,0.043587949,0.040667949,0.049967949,0.060367949,0.043067949,0.060367949,-0.011532051,0.023467949,0.011067949,0.057067949,0.044967949,0.062967949,0.040467949,0.020392749,0.019667949,0.001132949,0.018183359,0.000536,0.000558333,0.001785801,0.004532051,0.043033949,-0.0161053,7.05E-19,0.028966528,0.007,0.004759
