SheetID	CateName
20160101WDGCP00410000334	身体保养品
20160101WDGCP00410000334	其它冲饮茶
20160101WDGCP00410000338	其它米制品
20160101WDGCP00410000339	其他水果
20160101WDGCP00410000339	散装蛋糕
20160101WDGCP00510000003	收银（购物袋收入
20160101WDGCP00510000004	散装滋补药材类
20160101WDGCP00510000008	肉类联营
20160101WDGCP00510000010	调味菜
20160101WDGCP00510000010	柑桔类
20160101WDGCP00510000010	根茎菜
20160101WDGCP00510000026	鸡蛋类
20160101WDGCP00510000026	散装丁优米
20160101WDGCP00510000026	糖
20160101WDGCP00510000029	调味菜
20160101WDGCP00510000033	散装滋补药材类
20160101WDGCP00510000040	鸡蛋类
20160101WDGCP00510000041	煮成人面
20160101WDGCP00510000041	煮成人面
20160101WDGCP00510000041	煮成人面
20160101WDGCP00510000041	煮成人面
20160101WDGCP00510000043	散装丁优米
20160101WDGCP00510000044	肉类联营
20160101WDGCP00510000045	调味菜
20160101WDGCP00410000285	熟食联营
20160101WDGCP00410000286	食用菌类
20160101WDGCP00410000286	食用菌类
20160101WDGCP00410000286	煮儿单挂面
20160101WDGCP00410000286	方巾
20160101WDGCP00410000286	方巾
20160101WDGCP00410000286	男针织内衣套装
20160101WDGCP00410000287	洗衣皂
20160101WDGCP00410000288	食用菌类
20160101WDGCP00410000288	酱菜
20160101WDGCP00410000289	沐浴乳
20160101WDGCP00410000290	叶菜
20160101WDGCP00410000290	食用菌类
20160101WDGCP00410000290	洗衣皂
20160101WDGCP00410000292	包装被套类
20160101WDGCP00410000294	多合一洗发水
20160101WDGCP00410000297	笋类酱菜
20160101WDGCP00410000297	洗衣粉
20160101WDGCP00410000298	日用卫生巾类
20160101WDGCP00410000302	水产联营
20160101WDGCP00410000303	花生汤
20160101WDGCP00410000309	梨
20160101WDGCP00410000309	火锅底料
20160101WDGCP00410000309	李类包装
20160101WDGCP00410000310	调味菜
20160101WDGCP00410000310	梨
20160101WDGCP00410000310	其它口味沙琪玛
20160101WDGCP00410000311	豆类
20160101WDGCP00410000313	厨房清洁剂
20160101WDGCP00410000314	包装蚕豆
20160101WDGCP00410000316	口香糖
20160101WDGCP00410000316	包装湿纸巾类
20160101WDGCP00410000318	有芯卷纸类
20160101WDGCP00410000321	酥类
20160101WDGCP00410000321	散装火锅食品
20160101WDGCP00410000321	其他口味膨化
20160101WDGCP00510000046	调味菜
20160101WDGCP00510000047	调味菜
20160101WDGCP00510000052	鸡蛋类
20160101WDGCP00510000054	调味菜
20160101WDGCP00510000054	鸡蛋类
20160101WDGCP00510000056	肉类联营
20160101WDGCP00510000062	散装滋补药材类
20160101WDGCP00510000066	加工食品
20160101WDGCP00410000321	米饼
20160101WDGCP00410000321	其它冲饮茶
20160101WDGCP00410000321	组合软抽类
20160101WDGCP00410000321	其它点心罐头
20160101WDGCP00410000329	水产联营
20160101WDGCP00410000331	豆类
20160101WDGCP00410000337	其它糖果
20160101WDGCP00410000337	其它糖果
20160101WDGCP00410000337	沐浴乳
20160101WDGCP00410000338	散装普通大米
20160101WDGCP00410000338	水产联营
20160101WDGCP00410000339	食用菌类
20160101WDGCP00510000003	梅类包装
20160101WDGCP00510000003	梅类包装
20160101WDGCP00510000003	梅类包装
20160101WDGCP00510000007	国产普通烟
20160101WDGCP00510000008	豆类
20160101WDGCP00510000008	水产联营
20160101WDGCP00510000009	根茎菜
20160101WDGCP00510000013	豆类
20160101WDGCP00510000019	豆类
20160101WDGCP00510000024	羊肉
20160101WDGCP00510000028	根茎菜
20160101WDGCP00510000028	调味菜
20160101WDGCP00510000029	豆类
20160101WDGCP00510000035	豆类
20160101WDGCP00510000037	无芯纸
20160101WDGCP00510000037	无芯纸
20160101WDGCP00510000041	豆类
20160101WDGCP00510000045	水产联营
20160101WDGCP00510000056	水产联营
20160101WDGCP00510000057	豆类
20160101WDGCP00510000063	男式长袖睡衣
20160101WDGCP00510000064	叶菜
20160101WDGCP00510000068	根茎菜
20160101WDGCP00510000070	调味菜
20160101WDGCP00210000346	成人牙膏
20160101WDGCP00210000346	方巾
20160101WDGCP00210000347	鸡蛋类
20160101WDGCP00210000348	文具套装
20160101WDGCP00210000350	橄榄类包装
20160101WDGCP00210000352	保鲜袋
20160101WDGCP00210000354	包装包子类
20160101WDGCP00210000354	包装包子类
20160101WDGCP00210000356	鸡蛋类
20160101WDGCP00210000357	老酒类
20160101WDGCP00210000369	调味菜
20160101WDGCP00210000369	其他水果
20160101WDGCP00210000369	综合口味袋装饼干
20160101WDGCP00210000373	鸡蛋类
20160101WDGCP00210000375	女式内衣
20160101WDGCP00210000379	散装蛋糕
20160101WDGCP00210000380	散装滋补药材类
20160101WDGCP00210000381	瓶装豆瓣酱
20160101WDGCP00210000383	散装丁优米
20160101WDGCP00210000384	散装滋补药材类
20160101WDGCP00210000384	散装丁优米
20160101WDGCP00210000386	冷藏牛奶
20160101WDGCP00210000386	冷藏牛奶
20160101WDGCP00210000389	海苔
20160101WDGCP00210000391	调味菜
20160101WDGCP00210000394	散装丁优米
20160101WDGCP00210000394	糖
20160101WDGCP00210000399	单条针织单裤
20160101WDGCP00210000400	柑桔类
20160101WDGCP00210000400	收银（购物袋收入
20160101WDGCP00210000400	蔬菜联营
20160101WDGCP00210000402	绿茶
20160101WDGCP00210000403	鸡蛋类
20160101WDGCP00210000405	布拖鞋类
20160101WDGCP00210000356	豆类
20160101WDGCP00210000360	散装火锅食品
20160101WDGCP00210000366	食用菌类
20160101WDGCP00210000367	根茎菜
