ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YEL009C,-0.945585032,-0.675944518,0.400866261,0.240138625,-0.636181233,-0.816537036,0.152274475,0.202274475,0.258138528,0.446782208,-0.229965343,-0.034922022,0.5,-0.949,-0.493,0.528,0.123,-1.076,-0.787,-0.105,0.561247305,0.308125569,-0.109688106,-0.509445553
YIL043C,0.117650693,-0.325861418,-0.018133963,0.245667926,0.346514177,-0.20936538,-0.170092406,-0.393710784,-0.114127605,-0.030026694,0.319580607,0.185333032,0.295,-0.372,-0.458,-0.58,0.504,0.069,-0.388,-0.694,0.60957859,0.347670862,0.385637995,0.297422716
YEL058W,-0.12782661,-0.064150815,0.256947802,0.235049906,-0.094986452,-0.364298302,0.138125569,0.304857582,-0.376537036,0.157606916,-0.199445553,-0.083536222,0.12,-0.146,-0.528,-0.457,0.567,0.095,-0.421,-0.28,0.126939394,0.172805427,0.076463778,-0.134991336
YML116W,-0.518256632,-0.811485357,-0.820275524,-0.765833438,-0.689,-0.578986352,-0.476,-0.674675564,0.156247305,-0.328810516,0.158236972,-0.287,-0.488,-0.198,0.197,0.341,-0.159,-0.023,0.369,0.24,0.157502547,0.146779584,0.000514643,0.060866037
YJR051W,-0.006911279,0.361983771,0.813781486,0.143502547,-0.036349919,0.864,0.83717339,0.132520603,0.082572866,-0.16149861,0.312983331,-0.00178725,-0.116,-0.398,-0.47,-0.507,0.244,-0.249,-0.307,-0.242,0.265317714,-0.057785852,-0.005947462,-0.117932073
YGR132C,0.874781486,1.136048131,0.985230226,0.114984916,1.003961673,1.827002484,1.742216935,0.39029105,0.621177454,0.366782208,0.370138625,0.415008664,-0.208,0.082,0.594,0.548,-0.023,0.281,0.576,0.391,0.217422716,0.620866261,0.056265434,0.250034657
YBR149W,1.87141783,2.690027042,2.893601963,1.812068393,1.449070835,2.65,2.838196811,1.246211618,0.139606067,-0.126197419,-0.186427134,-0.281532478,0.307,1.168,1.811,1.959,0.087,0.195,0.978,1.315,0.199746373,0.330269722,-0.907847166,-0.681362005
YER069W,-1.410461791,-1.775569226,-0.90094143,0.015414968,-1.251,-1.285,-0.309,0.068643323,0.082857582,0.453560722,0.222554447,-0.008131925,0.079,-0.136,-0.432,0.232,0.169,0.14,0.493,0.376,0.071785385,-0.094958065,-0.103470817,0.147032093
YJL071W,-0.250177624,0.107634623,0.000857582,0.253,0.069,0.200606136,0.464,0.092,-0.207198415,-0.465585032,0.098928449,-0.310026694,-0.522,-0.406,-0.179,-0.028,-0.449,-0.631,-0.094,0.129,-0.274035051,-0.078591417,-0.567266775,0.14276208
YMR062C,0.28040845,1.195077978,1.701697545,0.696887839,-0.612899843,-0.117195593,0.19247462,0.445216598,-1.353951869,-1.534783402,-0.089861375,-0.384991336,0.42,0.5,0.78,1.28,0.26,0.37,0.48,0.8,0.030554447,-0.213217792,-0.108692893,0.11
