ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YCR091W,0.005,0.150994494,-0.129,,,1.56,0.785,,0.067689324,-0.202,,-0.14,,0.104,,0.593,-0.009,0.312,0.519,0.681,-0.402,0.191,-0.13,
YDL079C,0.776709551,0.914983771,0.385230226,0.487550148,1.358968743,1.33814833,0.749527714,0.222382067,0.501629665,0.217252362,0.269754628,0.444189484,0.174,0.254,-0.218,-0.212,0.451,0.203,0.082,-0.142,0.807191668,0.757502547,0.605701698,0.47957859
YDL214C,2.104857582,-0.105973504,-0.251512614,-0.026,2.621905995,1.829,-0.508,,0.880499391,,0.42306016,-0.231572641,,,,,,1.348,,,0.808096804,0.715040674,-0.025622614,0.630846103
YDR122W,0.425172485,0.535685814,0.552527074,-0.248580995,-0.171305467,0.77,0.47761017,0.127798438,0.027030292,-0.493,0.010554151,0.01513813,-0.077,0.406,0.621,0.738,0.148,0.388,0.19,0.662,0.028085547,0.285214148,-0.528194951,-0.27944479
YGL158W,0.396572866,-0.430973997,-0.262714423,0.015258636,1.53900678,0.662,0.256,-0.696,0.361507018,,0.254526495,0.199854156,-0.343,0.955,0.811,0.392,-0.002,1.713,1.741,1.426,0.883,0.892,-0.152,0.453582512
YHR082C,0.250658532,-0.003,-0.153218514,-0.692032399,-0.02,-0.581,-0.665,-0.373,0.193,-0.407349307,-0.285624893,-0.44849922,-0.112,0.677,0.582,0.424,-0.386,0.522,0.726,0.749,-0.041488433,-0.426786748,-0.341873332,-0.105765729
YHR135C,0.030228836,-0.045607032,0.138271697,0.076138625,-0.719439719,-0.282,-0.891674064,-0.136790597,-0.142002348,-0.236922022,0.09019868,0.07905857,0.253,0.427,0.338,0.251,-0.049,0.277,0.407,0.272,-0.51,-0.15276416,-0.428,0.064349025
YIL095W,-0.053536222,-0.189688106,-0.40628642,0.242805427,0.027685814,-0.328957489,-0.282124067,0.16161017,0.085701698,0.012576111,-0.079133739,0.155424511,-0.52,-0.49,-0.47,-0.51,-0.37,-0.3,-0.19,-0.2,-0.136537036,-0.14404301,-0.013058647,0.12
YKL126W,1.105611269,1.493125109,1.707510484,0.651948599,-0.42961282,0.933,0.694,0.187,-1.392060606,-1.380967907,-1.109525593,-0.82635928,0.081,0.72,1.132,1.086,-0.081,0.063,0.42,0.696,-0.591216103,-0.814783402,-1.440935841,-0.908750751
YKL168C,0.734859585,0.57352504,0.182590107,-0.408,0.601,0.807,0.088,-0.234,-0.233796223,-0.62309875,0.024049906,-0.185058647,-0.286,0.84,0.708,0.604,-0.035,0.469,0.89,0.992,-0.551260945,-0.432727324,-0.712013623,-0.183490852
YLL019C,0.518745298,0.175682203,0.317890602,0.004947834,-0.435,0.124000884,-0.083,,-0.598532478,-0.606,,-0.393341522,0.12,1.32,1.56,1.47,0.06,1.02,1.23,1.32,-0.856349307,-0.81645537,-1.461624893,-0.976848171
YMR104C,0.117,-0.135,,,0.559,0.287,,0.807,-0.117,-0.222600342,0.08,-0.089,,1.563,,,0.332,0.823,1.483,1.471,-0.551,0.028507018,-1.285,-0.291397248
YMR216C,-0.646508247,-0.62515614,-0.390294213,-0.328298302,-0.367240338,0.317,0.258420633,0.217269645,0.049525884,-0.143977819,-0.163874092,-0.105256632,-0.266,-0.187,-0.067,-0.166,-0.721,-0.08,0.233,0.192,0.023048131,-0.313417319,0.050118448,-0.228903196
YNL020C,1.30717339,1.382,0.797408263,0.048075509,-0.446,0.039,0.015291449,0.175,-1.200294213,-0.860038327,-1.111559933,-0.660272381,-0.39,0.64,0.77,0.3,-0.24,-0.34,0.018,0.17,-0.9605809,-0.400398037,-1.039,-0.394068587
YNL154C,-0.49144479,-0.402319359,-0.79582528,-0.46680132,0.110209403,-0.298,-0.161,0.097391797,0.148400602,-0.209998614,0.194199617,-0.035922022,0.376,0.056,0.361,0.566,0.084,0.19,0.388,0.571,0.29018859,0.484650081,-0.011500609,-0.040666968
YOL045W,-0.609989627,-0.913682823,-0.836991336,-0.528573662,-0.319124067,-0.634012686,-0.614954768,-0.588419393,-0.170874431,-0.05259155,-0.708887713,-0.603998614,0.091,-0.121,-0.218,,0.7,-0.017,0.189,0.154,-0.013,0.181394105,-0.637,-0.450388731
YOL113W,0.308311894,-0.467341468,-0.625599398,0.185936932,0.417778091,0.458,0.212601963,-0.005,0.377733225,0.411151829,0.291590107,0.074088721,-0.66,0.603,0.387,-0.037,-0.37,0.712,1.296,1.036,0.013395605,0.06466429,-0.115590533,0.445725348
YOL128C,0.001973306,0.281333032,-0.025,0.311249249,-0.319695663,-0.120664218,0.358875933,0.382138625,-0.949329138,-0.161038327,-0.783887713,-0.224499913,0.231,-0.051,-0.239,-0.266,0.561,0.279,-0.14,-0.359,-0.402071551,-0.113689539,0.460274362,0.281311894
YOR233W,-1.319771164,-0.909908402,-0.857169326,-0.483631216,-0.614474116,,-0.470407141,0.031474655,-0.24,0.305000884,-0.266133963,-0.319725525,-0.75,-0.91,,-0.888,-0.528,-0.725,-0.651,-0.431,-0.011378373,-0.398987629,0.212,0.21805857
YDR490C,-0.218168037,-0.062198415,-0.553240962,-0.408092406,-1.037035711,-0.6,-0.977102206,-0.743291979,-0.473861472,-0.405,-0.325240338,-0.047,0.431,0.623,0.544,0.716,0.227,0.255,0.615,0.51,-0.054,0.444,-0.587,-0.603832265
YOL100W,-0.0395809,-0.157412629,-0.222047357,-0.472,-0.023744746,-0.361,-0.495,-0.318,-0.217,-0.347,-0.015253627,-0.027035711,0.213,0.936,0.938,0.864,,0.738,0.833,1.042,-0.392291795,-0.235479334,-0.368074499,-0.190218514
YBR276C,-0.012454166,-0.055848171,-0.547397248,-0.42164805,-0.057904377,0.56,-0.20023004,0.142859585,-0.125664218,-0.141,0.16389702,0.114028072,-0.181,0.086,0.191,-0.142,-0.135,0.084,0.159,0.279,0.129289216,0.04656682,-0.200963587,0.184708021
YCR079W,1.134685814,1.100701698,0.919526678,0.341371468,0.925369802,2.20591505,1.325437295,0.483320253,0.273477119,-0.367201642,0.42957807,0.074798358,-0.32,0.666,1.248,0.914,-0.295,0.652,0.898,1.036,-0.053361506,0.351142154,-0.34538983,0.089013648
YDL230W,1.131670862,1.056474835,0.471891872,0.28374347,0.587634623,1.699532513,0.309166562,-0.39235928,0.591727619,0.057,0.552611269,0.340462964,,0.579,0.919,0.742,0.378,0.598,0.598,0.921,0.503726609,0.66497199,-0.066,0.326801585
YER089C,-0.217725525,-0.239445553,-0.139445553,-0.04254308,0.081762119,-0.266181233,0.004189484,0.290034657,0.047783897,0.177502547,0.170554447,0.230554447,0.314,-0.144,-0.21,0.07,0.36,-0.13,-0.03,0.11,0.012805427,-0.039133739,0.036048131,-0.037783065
YGR123C,-1.388752695,-1.738752695,-1.135944518,-0.419688106,-1.15959155,-1.574575489,-0.837725525,-0.488752695,-0.149133739,0.175008664,-0.534298302,-0.404991336,0.378,-1.22,-1.73,-1.141,0.229,-0.923,-1.647,-1.535,0.009516005,-0.289861375,0.192805427,-0.113951869
YIL113W,2.189016982,2.227890602,1.918977055,0.178514643,2.361985739,3.463928449,2.649008664,0.606630399,1.087685737,0.576374987,0.740645643,0.865945516,-0.069,1.108,1.866,1.541,-0.036,0.897,1.217,1.735,0.436743368,0.672846381,-0.161725525,0.04884386
YNL128W,0.120281815,-0.058652163,-0.174919832,0.161,0.251444043,-0.313023478,-0.688,-0.263532626,-0.042616331,-0.007741543,-0.00381667,0.233685737,-0.036,0.756,0.564,0.142,0.167,0.63,0.628,0.489,-0.235,-0.06787073,0.042016982,0.238805427
YPR073C,0.353022181,0.738995441,0.918274362,0.515399658,0.313499391,0.42391247,0.422598408,0.000744719,0.086125599,0.101361211,0.273928449,0.245961673,0.038,-0.228,-0.054,0.008,0.427,0.229,-0.012,-0.247,0.003021178,-0.032994455,0.135645556,-0.053525593
YDL236W,0.51867368,0.460817605,0.279083671,0.485936932,0.729953091,1.085138625,1.096894356,0.821096804,0.445527714,0.460888907,0.293888907,0.162010373,0.095,-0.451,-0.089,-0.084,0.181,-0.154,-0.27,-0.203,0.269606916,0.123939394,0.178995441,0.226645643
YBR125C,0.306453741,0.15605857,0.404329107,0.126634623,0.000658532,0.443972015,0.448358105,0.27782296,-0.12908753,-0.061914453,-0.04978725,0.020531278,0.379,0.605,0.826,0.517,-0.187,0.467,0.884,0.562,0.09179211,-0.01761377,-0.008253627,0.031428086
YOR090C,0.143427359,0.628,0.749620458,0.03050139,-0.054424588,0.894,0.25,-0.052117852,-0.334726785,-0.481334738,-0.076708551,-0.089474116,0.305,0.572,0.665,0.588,0.32,0.365,0.672,0.678,-0.08783736,-0.099438258,-0.53,-0.233708551
YOL157C,-0.260890314,-0.089639405,-0.279102206,-0.137368219,0.380211618,,0.282,0.052755554,0.326997652,-0.070708551,0.156215159,-0.199504913,-0.156,0.26,0.214,-0.036,-0.921,0.15,0.449,0.625,0.354394105,0.659580607,-0.203446374,0.119161886
YNL274C,2.462199617,3.362217375,2.959804407,1.241936725,2.48261017,3.94706016,3.503437774,1.750685814,0.78405386,0.647133975,0.260034657,0.759032093,0.152,1.929,2.958,2.895,0.125,1.756,2.852,3.375,0.094417267,0.331112287,-0.515472286,-0.251492982
YDR242W,0.160554447,0.485701698,0.270311894,0.182805427,-0.127524694,0.536948599,0.215077978,0.102689324,-0.073051401,-0.009965343,0.3,0.066048131,-0.13,0.14,-0.05,-0.031,-0.05,0.18,0.26,0.13,0.031697545,-0.091182395,0.088125569,0.215216598
YFL057C,-0.240881047,-0.296689539,-0.149965343,-0.014150815,-0.368800028,-0.482301233,-0.521856291,-0.079445553,-0.049445553,-0.266697358,-0.01042141,0.064414968,-0.49,-0.54,-0.26,-0.17,-0.72,-0.41,-0.15,-0.01,0.095008664,-0.448664606,-0.006689539,-0.179688106
YOL075C,-0.181,0.066502547,-0.268919832,-0.06534848,-0.438,-0.111700984,0.186046137,0.120886924,-0.037058647,-0.11992381,-0.077467487,-0.014,-0.149,-0.269,-0.263,-0.188,0.039,-0.07,0.082,0.325,-0.326007534,0.132331819,0.119289216,-0.019971928
YDR077W,0.359538209,0.284726609,0.268036413,0.373221872,0.047952643,-0.027128762,0.356437774,1.278554151,-0.114649328,0.260107527,-0.415987523,-0.956038327,0.883,1.11,1.205,1.516,0.37,0.814,1.164,1.462,-0.075416737,-0.085419393,-0.871140415,-0.725971928
YFL024C,-0.139445553,-0.049965343,-0.118302455,0.016782208,-0.276689539,-0.405585032,-0.594266095,0.069650081,0.236463778,-0.246689539,-0.09,0.035424511,0.2,0.29,0.2,0.14,0.09,0.41,0.42,0.4,-0.114298302,-0.352216103,0.207783897,0.130034657
YLR284C,1.354203777,1.9300785,1.524602752,0.27417339,1.067764724,2.032964289,1.17784386,-0.162,-0.092378373,-0.423663335,0.70479211,0.817,0.578,1.278,,,0.707,1.573,1.786,1.715,-0.122261448,0.096563162,-0.251862125,0.237311894
YJR049C,-0.352427134,-0.422865609,-0.148275524,-0.036730278,-0.592899843,-0.16,-0.253577284,-0.349140066,-0.142874092,0.069502547,0.099151829,0.126361211,0.395,0.194,0.051,0.366,0.179,-0.11,-0.071,0.172,0.236304789,-0.466759723,0.091660569,-0.115996881
YEL047C,-0.232747363,-0.441333096,-0.345015084,-0.001220416,-0.531616866,-0.151847166,0.002,-0.455393864,-0.286181233,0.133818767,0.102354862,-0.099861375,0.49,0.549,0.562,0.477,-0.066,0.447,0.623,0.742,0.07247462,-0.275810516,-0.083536222,0.010138625
YBR054W,-0.509339802,-1.15238825,-0.300298302,-0.748698563,0.257371468,0.724474407,1.242139174,0.195288039,2.073121876,2.29896939,0.042186194,-0.339354444,-0.2,-0.627,-0.269,0.744,0.109,0.209,0.306,0.505,0.901320911,0.450138582,-0.390624893,-0.598468722
YOL065C,0.284694533,0.546757034,0.576125725,0.045012477,0.093958971,0.897032093,0.398822376,-0.251330409,0.036866037,-0.237416737,0.299311894,0.142499391,-0.14,0.016,0.345,0.011,-0.388,0.262,0.605,0.457,0.057854156,-0.001580427,-0.09310298,0.038048131
YOL088C,0.03876208,-0.329873332,0.024632423,-0.002260945,0.362186194,0.138637995,0.366,0.12085338,0.248291449,0.194096804,0.210669591,0.193936932,,-0.366,-0.062,0.26,-0.065,-0.544,-0.424,-0.366,0.136394105,0.147029765,-0.13234848,-0.269638789
YAL017W,0.655330662,0.880745298,0.534398601,-0.487,0.067194498,1.00877966,0.379576767,0.186,-0.115058647,-0.237689539,0.014216935,-0.046,-0.07,0.07,0.1,0.27,0.06,0.11,0.26,0.45,-0.667,-0.459,-0.416368219,-0.29744479
YDL025C,1.058192765,0.627125599,0.047881884,-0.619652163,0.445500959,0.82957859,-0.06440858,-0.2916689,-0.113550887,-0.546679747,0.200961673,-0.057727324,-0.116,1.418,1.907,1.253,-0.245,1.51,1.698,1.408,0.16002762,0.314392562,-0.383970235,0.173
YDR247W,0.803818767,0.040311894,-0.149861375,-0.107720399,0.450779396,0.811028072,0.084354862,,0.355849185,0.071527074,0.050034657,0.131247305,0.12,1.931,1.795,1.535,-0.481,1.401,1.874,1.699,0.091247305,0.009202489,-0.641182395,-0.334783402
YGL179C,1.924631781,1.69390125,1.327354862,0.19916556,1.484897005,1.410894356,1.120549283,-0.043087806,-0.211378373,-0.517120712,-0.743525345,-0.409,-0.632,1.026,1.222,0.681,-0.853,0.55,0.631,0.634,-0.743700984,-0.054537036,-0.530354444,-0.009198415
YKL161C,0.139,0.253329107,0.073,,,,0.88,0.504526196,-0.523,0.638181915,0.036232183,,0.005,1.003,1.45,1.443,0.099,0.801,1.467,1.964,-0.366,,-0.072388731,-0.384622614
YKL171W,0.191526495,0.328077978,-0.128983018,-0.498,0.131311895,,-0.175273099,-0.045,-0.493695663,-0.026,-0.109291979,-0.161317797,-0.41,0.567,0.453,0.441,-0.309,0.041,0.165,0.538,-0.312599246,-0.264035711,-0.179,-0.165765729
YBR046C,0.659499391,0.870598408,1.348660198,-0.282388731,0.168514177,0.76,0.612,-0.334,0.086,-0.135,0.10991505,0.277724976,0.508,0.877,1.352,1.778,0.489,0.775,1.067,1.409,-0.240189569,-0.351339431,-0.387485357,-0.46781667
YOL010W,-2.139063275,-1.650727324,-0.820423889,-0.033991336,-1.958663335,-2.099,-0.847,-0.219189569,-0.887497453,-0.020329172,-1.800700984,-0.651298302,-0.732,-1.982,-2.621,-1.866,-0.754,-2.021,-2.534,-2.488,-0.253405647,-0.78914662,0.344606136,-0.063485357
YKL078W,-2.342,,-1.885,-0.63449922,-1.316,,-0.934,-0.125308613,0.165,0.276,,-0.477878124,-0.892,-1.827,-2.708,-2.548,-0.472,-1.799,-2.321,-2.256,,,0.429,
YLR276C,-2.297,-2.395354357,-1.387322355,-0.288,-1.845518926,-2.845716489,-1.257756841,-0.356862125,-0.174,0.201444043,-1.336,-0.580710784,-0.165,-1.864,-2.531,-1.558,-0.074,-1.558,-2.431,-2.252,-0.241416737,-0.647650975,0.47691247,-0.297608203
YOR192C,-0.298220416,-0.128354444,-0.070472714,0.026,-0.346324554,-0.379375007,-0.631,0.196,-0.264710784,-0.11632632,-0.300638789,-0.016994455,0.077,-0.118,-0.098,-0.114,0.314,-0.165,0.076,0.159,-0.051833438,0.040583263,-0.101622614,0.057375114
YHR056C,-0.049914453,-0.042771164,-0.455239458,-0.34,0.090738552,-0.380026792,-0.562633026,-0.475112918,0.36215836,0.225768174,0.134247305,0.163,0.253,0.751,0.673,0.44,0.51,0.786,0.683,0.559,0.068866037,0.26950078,0.08518333,0.339781486
YJR036C,0.97386406,1.210463341,0.84589702,,0.52063462,2.205675446,1.017,0.198,0.160343059,-0.47,0.335077978,0.211583263,-0.438,0.348,1.013,0.712,-0.261,0.148,1.048,1.296,-0.256,-0.03038983,-0.576046909,-0.345329138
YPR196W,-0.124035051,0.370126668,0.041387532,0.003055482,-0.175874092,0.161363499,-0.285247989,0.335389307,-0.138998614,0.108697545,0.019,0.010670862,0.076,0.235,0.125,-0.019,0.309,0.156,0.05,0.125,-0.182150815,-0.179424588,0.141095623,-0.112994455
YJR055W,-0.540825351,-0.335550887,-0.466329138,0.412745298,-0.359656941,-0.359068587,-0.859255281,-0.287240334,-0.076354357,-0.024013623,-0.09,-0.208090079,0.009,-0.456,-0.392,-0.436,0.191,-0.012,-0.357,-0.527,-0.711,-0.022625013,0.140214148,0.207582512
YPL123C,1.732881884,2.947580607,2.762067546,0.828594353,1.578622738,3.05,2.842095623,0.297783897,0.341463778,-0.141153897,0.053112287,0.164768174,-0.786,0.057,0.865,0.791,-0.498,0.245,0.189,0.934,-0.046668181,0.415467374,-0.701367577,-0.525847166
YLL046C,-0.239,0.045,0.066230226,,,-0.364998614,0.087,0.347538209,-0.259272381,0.406,-0.446,0.029,0.321,1.576,1.866,1.293,0.538,1.937,1.916,1.516,-0.005314263,0.18355521,0.785121876,0.796217375
YNL004W,-0.092164307,-0.265168037,-0.414013623,-0.352793913,0.096919371,-0.557,0.076022181,-0.18220789,0.046,-0.297,-0.02761377,-0.136467487,0.076,0.116,0.008,-0.215,-0.075,0.156,-0.033,-0.158,0.167112287,-0.068585032,-0.058,0.30950078
YHR169W,-2.381128762,-2.68,-1.889729327,-0.232497453,-2.266649328,-2.054214615,-0.316714423,0.535,-0.567,0.881551901,-1.127,-0.586550887,-0.526,-1.557,-1.985,-1.624,-0.301,-1.448,-1.731,-2.321,-0.096497834,-0.497445553,0.494502547,0.372500394
YMR290C,-1.545903196,-2.516994455,-2.270483995,-0.247904377,-0.719569552,-2.067537036,-0.817030771,-0.355,0.228234271,0.743976522,-0.39432632,-0.343142418,-0.391,-1.983,-2.885,-2.633,-0.155,-1.836,-2.648,,0.537013648,0.442008664,0.582973306,0.24876208
YMR180C,0.554531278,0.557936725,0.362759666,0.709897794,0.764206087,0.187005545,0.360476186,0.003618612,0.059463778,0.070527286,0.204,-0.08247496,-0.151,0.092,0.503,0.201,-0.056,0.188,0.283,0.245,0.309155705,0.270444043,-0.011216103,0.142781486
YLR390W-A,-0.547407222,-1.042329138,-0.811134677,-0.034,-0.537043145,-0.879585032,0.031086663,0.595121876,0.429032058,1.02515587,0.399028072,0.157822376,0.754,0.573,0.586,0.692,0.326,0.26,0.518,0.807,0.199525884,-0.054892473,0.180462964,0.119527286
YNR076W,0.114817605,-0.345058647,-0.104201642,-0.299153897,-0.079256677,-0.372,-0.411,-0.07,-0.33951873,-0.40320789,-0.128998614,-0.015102995,0.183,1.128,0.979,0.888,0.097,0.492,0.81,0.845,-0.358800028,-0.194546259,-0.155726785,-0.122813806
YPR194C,0.180068393,0.07385338,-0.648007117,-0.446,0.459674567,0.158005545,0.019,-0.313,0.311027042,0.139003119,0.363,0.080320911,-0.269,-0.501,-0.356,-0.59,-0.091,-0.108,0.283,0.517,-0.079026694,-0.17278725,0.037246395,-0.029580995
YDL037C,-1.330342072,-0.680118116,-0.27692381,-0.598,-0.785,-0.821,-0.39270039,-1.003970235,-0.557913453,-0.620194573,-0.648,-0.573261448,0.048,,,0.166,,,,,-0.317783065,-0.084256677,0.001677645,-0.294168037
YDR033W,-1.47681141,-2.978,-2.561684926,-0.745971928,-0.093242966,-0.724668181,-0.324204108,0.375907594,1.834701923,2.07279211,0.282964289,-0.040393933,-0.266,-1.377,-2.215,-1.704,-0.334,-1.427,-1.86,-2.173,0.689685814,0.36279211,-0.025449316,-0.221616331
YBR148W,-0.349220416,-0.188750751,,-0.367,-0.454638789,0.115,-0.73,-0.121987523,-0.277,-0.307,,-0.015783402,0.02,0.302,0.341,,0.16,0.173,0.368,0.752,-0.080523814,-0.181065249,-0.024239458,0.141013648
YBL011W,-0.15913594,-0.48542141,-0.707992804,-0.597892473,-0.462204108,-0.432249085,-0.650222366,0.213810431,-0.181409893,0.032561742,-0.074832265,0.036252637,0.199,0.136,0.293,0.069,-0.053,0.096,0.197,0.255,-0.320007534,0.015811098,-0.180991336,-0.034354357
YDR099W,0.920572866,1.055455033,1.267726609,0.578685737,0.953499391,1.136983959,1.077878745,0.770464609,0.2270785,0.115315074,0.329391797,0.316618612,0.451,0.08,0.517,0.623,0.29,-0.005,0.183,0.342,0.486013648,0.345992883,-0.205445849,-0.184887713
YMR241W,-0.994198415,-1.220793913,-0.30403025,-0.131675564,-0.421,-0.625111093,-0.102580995,0.165621627,-0.182500609,-0.019240338,-0.108550887,0.025866261,0.454,-0.91,-1.037,-0.872,-0.167,-1.47,-1.472,-1.513,-0.224666968,-0.019987588,0.013325936,0.036041935
YIL031W,-0.323500609,-0.754874092,-0.607071551,,-0.331492982,-0.137,-0.626,-0.213,-0.149472714,,-0.328,-0.064,0.331,1.433,1.068,0.905,0.35,0.808,0.929,0.839,0.186325936,-0.014837437,-0.394239458,0.129
YPR125W,-0.180441431,0.066109686,0.343510484,0.360088721,-0.115959138,0.22417472,0.498357385,-0.121800383,0.014822376,0.180322367,0.08257807,0.470810431,-1.142,-1.025,-0.92,-0.634,-0.889,-0.69,-0.673,-0.486,0.201040862,-0.037063068,0.027271046,-0.078198415
YHR127W,-0.411524694,-0.364847166,-0.876523814,-0.313622614,0.111038664,-0.169,-0.221,-0.267,-0.278256632,0.349375114,0.077232183,0.155216598,0,-0.671,-0.725,-0.705,0.264,-0.06,-0.487,-0.635,-0.228273391,-0.233005506,0.105214148,-0.112425871
YBL102W,0.253005545,0.737931413,0.618038865,0.171726609,0.227973208,0.861527074,0.820311895,0.291781486,0.414000347,0.320281815,0.635424511,0.234941353,-0.231,-0.756,-0.068,0.271,-0.027,-0.821,-0.456,-0.002,0.200417267,0.238744719,-0.222381388,-0.220605895
YKL124W,-0.168810751,-0.478624893,-0.105495754,-0.130118116,-0.154593282,-0.589,-0.173,0.006,-0.185572641,-0.208201642,-0.139013623,-0.192684926,0.363,1.357,1.524,0.955,0.168,1.058,1.337,1.068,-0.345998614,-0.292987523,-0.255485823,0.048545834
YDR006C,-0.257375007,-0.102483995,-0.120947569,-0.340986352,-0.072,-0.105049405,-0.233631216,-0.116546259,-0.423319359,-0.428965343,-0.379,-0.138961096,-0.458,0.084,-0.177,-0.311,-0.08,-0.158,-0.074,0.079,-0.066255072,-0.241349307,-0.266525345,0.014377386
YCL011C,0.296252637,0.293558569,0.200107527,0.505097779,0.387527714,0.419038865,0.689028072,0.338680641,0.468743368,0.560449113,0.377247305,0.240217375,0.497,-0.329,-0.44,-0.155,0.548,-0.001,0,-0.097,0.783785439,0.795973306,0.590068246,0.477000884
YNL273W,-0.540901145,-1.045537036,-0.918,-0.397894141,-0.363859403,-0.897837437,-0.761442721,-0.696194573,0.247354862,0.075,0.175,-0.157489516,0.702,-0.479,-0.209,-0.666,0.058,-0.162,0.124,-0.119,-0.161584972,0.013818767,-0.385931607,-0.299275024
YLL063C,-0.30135928,-0.455986352,-0.072473804,-0.349,-0.081931607,-0.231,-0.444,-0.274,-0.32382661,-0.38,-0.077,0.116765446,0.793,0.759,0.963,0.836,0.063,0.028,0.299,0.333,-0.421245372,-0.650016229,-0.31452538,-0.175454166
YER144C,1.320387532,1.015008664,0.621247305,-0.037194573,-0.061354444,0.056040862,-0.457793913,0.142040674,-1.527194573,-1.167201562,-1.333170884,-0.932497453,0.01,0.58,0.66,0.41,0.06,0.04,-0.16,0.29,-1.083290449,-0.746537036,-1.101624886,-0.649861375
YAL004W,0.849582512,0.361645643,-0.092575489,-0.538959326,0.277977794,0.698500959,0.483188887,-0.339711097,-0.036700984,0.246745736,0.124744719,0.050554447,0.43,0.5,-0.05,0.27,0.527,0.937,0.859,0.63,0.610743323,0.336167735,0.135645093,0.548645643
YAL008W,0.555333032,1.17117339,1.138281815,0.11340845,0.284387726,0.391070835,0.670075509,-0.547524694,0.665560722,0.428646684,0.335866037,0.264028072,0.469,0.134,0.528,0.668,0.117,0.072,0.135,0.239,0.617725348,0.560857582,0.115765446,-0.017354357
YAL011W,0.092420881,-0.15709875,-0.142695663,-0.221427134,0.080391797,-0.08289428,-0.506747363,-0.09243288,0.022689324,-0.044472926,-0.161977819,0.074000884,0.145,0.003,,-0.057,,0.939,-0.019,-0.113,0.018502166,-0.181109398,0.227125569,-0.019317797
YAL014C,-0.076825351,0.059040862,-0.11025653,-0.541796223,-0.02017968,-0.13758217,-0.337454963,-0.200741364,0.233858117,0.293871197,0.083504246,0.173804407,0.912,0.615,-0.018,0.088,0.311,-0.34,-0.515,-0.598,0.171514643,0.208299016,-0.079700984,-0.345133963
YAL022C,-0.618861472,-0.525572641,-0.222989627,-0.12313594,-0.465407141,0.344858117,0.412997652,0.226153932,0.249068393,0.16479211,0.237519495,-0.190058647,-0.018,-0.966,,-0.599,0.147,-0.437,-0.607,-0.585,0.265249249,0.243202261,-0.136734073,-0.246622614
YAL027W,0.818005545,0.59282032,0.383675446,-0.118026792,0.806177454,0.802810431,0.424526196,-0.15,0.127206087,-0.150467487,0.044,0.015631781,0.081,0.143,0.425,0.271,0.15,0.259,0.317,0.185,-0.118861418,0.148343059,-0.191977819,0.024034657
YAL028W,0.7810785,0.369080168,0.545744719,-0.070479397,0.404349025,0.564983771,0.06912927,0.24706016,0.249174649,-0.434928952,0.05,-0.300544967,0.16,0.237,0.304,0.149,0.246,0.311,0.249,0.309,0.055233925,0.043500087,0.036091598,0.219801585
YAL031C,0.415068393,0.104112909,0.094500087,-0.627102206,0.179854156,0.430522443,0.176392968,0.045887082,0.014961673,-0.205424002,0.097201788,-0.014,0.054,0.017,-0.122,-0.235,0.367,0.339,0.755,0.309,0.040068393,0.092301342,-0.551002348,-0.265874401
YAL034C,0.71914833,0.50582032,0.243,-0.718636025,1.053387726,1.426186194,0.239118448,0.533755966,0.370329107,-0.557,0.385010373,-0.200427134,0.824,2.167,1.533,,0.663,1.184,0.874,0.536,0.508322367,0.132592778,-0.005446697,0.192931413
YAL034W-A,-0.141,-0.295848171,-0.208128803,0.156576111,1.157812479,-0.398497453,-0.314273496,-1.123,0.23474347,0.108288039,0.301463341,0.253331819,-0.089,-0.21,0.119,-0.045,0.481,0.083,-0.071,,0.057865323,0.039854156,0.239824645,0.141258457
YAL035C-A,-0.96200348,-1.196,-0.866,-0.815992804,-0.72,-1.044144135,,-0.272041146,0.127375114,0.050409467,-0.144765729,-0.001317797,,-0.275,-0.536,-0.297,0.233,-0.225,-0.39,-0.347,-0.165,-0.099692893,-0.012625013,-0.172
YAL037W,-0.09120789,0.349125725,0.285215159,-0.228,-0.308497453,0,0.448987419,0.037,0.001279601,-0.137,,-0.651,-0.082,0.034,-0.06,-0.159,0.282,0.516,0.023,-0.143,-0.285783065,-0.172698563,0.228013648,0.562
YAL042W,-0.129254702,-0.136409893,-0.042585032,0.001329107,-0.877016014,0.247696446,0.188968921,0.154079727,-0.197730278,-0.049797511,0.249,0.104658532,,-0.241,-0.196,-0.183,-0.038,-0.363,-0.439,-0.419,0.548,0.299,-0.252686791,0.005400754
YAL043C-A,-0.197310676,-0.223861375,-0.026958065,-0.126532478,-0.199214615,0.023,0.278,-0.213063275,-0.126695211,-0.100169326,0.09689702,0.122022181,-0.392,-0.368,-0.724,-0.749,-0.472,-0.732,-0.606,-0.705,0.079265927,-0.153308613,0.081,0.133010373
