id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
12,4,8,3,2,1,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
12,4,11,1,1,2,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
12,4,12,2,3,2,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
13,1,2,4,5,7,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,3,7,6,2,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,5,6,4,2,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,6,2,5,7,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,7,6,6,2,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,10,1,2,7,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,13,4,2,5,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
13,1,16,1,1,6,7,7,7,7,7,7,6,2,2,6,46,3,2,4,No.,,
14,1,4,6,6,4,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,6,6,5,4,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,7,6,4,3,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,10,4,5,4,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,12,7,5,4,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,13,7,4,5,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,15,7,5,4,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
14,1,16,5,5,7,4,7,7,7,5,6,4,3,2,6,32,4,1,6,No.,,
15,1,1,5,1,6,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,2,3,3,4,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,3,6,6,3,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,5,6,5,2,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,8,5,4,3,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,9,1,1,5,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,11,5,3,3,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
15,1,14,5,6,3,4,5,4,5,5,5,3,2,1,8,38,4,2,4,No,,
16,2,1,5,2,3,7,2,7,7,7,2,4,5,2,9,38,4,2,4,No.,No additional comments.,
