"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"601","《天网》20161223 “泣血”的红珊瑚","2016-12-24 13:17","1850","8","6","6",1653,59648,8,0,"CCTV
纪实
社会
央视
天网","转自cntv 《天网》20161223 “泣血”的红珊瑚"
"602","【央视纪录片】【国宝档案】【2005】【合集】","2016-12-24 13:10","1632","4","11","149",7,20,3,0,"文物
央视纪录片
历史
国宝档案
帝陵","cntv 【央视纪录片】【国宝档案】【2005】【合集】"
"603","[生肉]161223 美之壶【餐具】","2016-12-24 13:07","463","6","6","56",2045,18088,1,0,"美之壶
草刈正雄
木村多江","自录 本期介绍餐具"
"604","「记录片」「舌尖上的中国」 「第二季」  认清明天的去向 不忘 昨日的来处","2016-12-24 12:55","27000","1424","105","1781",51,15103,80,26,"舌尖上的中国
认清明天的去向 不忘 昨日的来处
吃货
中国
美食","认清明天的去向 不忘 昨日的来处
脚步、心传、时节、 家常、相逢、秘境、三餐、花絮"
"605","【公视纪录片】我们的岛 - 台湾屋脊上的玉山圆柏 (公共电视)","2016-12-24 12:53","134","1","0","10",7,34,0,0,"台湾
纪录片
公共电视
公视
我们的岛
玉山圆柏","youtube 【公视纪录片】我们的岛 - 台湾屋脊上的玉山圆柏 (公共电视)

我想，再也没有一种树，能像它一样，踞守台湾三千公尺以上的高山，以各种姿态，展现它的独特，在百万年前的冰河时期，从东喜马拉雅山系一路拓展领域，落脚到台湾，成为分布海拔最高的树种。在玉山山块它的命名地，我们见证了它们不畏霜雪的坚毅，在中央山脉的秀姑坪，目睹了大火肆虐过的枯木残寂，在雪山山脉的翠池，遇见它们最大最古老的族群。"
"606","【纪录片/无字】创作圣诞夜惊魂 The Making Of-The Nightmare Before Christmas","2016-12-24 12:30","256","1","0","26",119,929,1,0,"蒂姆波顿
纪录片
圣诞夜惊魂","暗夜电影网 圣诞夜惊魂创作纪录片。
暗夜电影网：http://www.dunklenacht.com/forum.php"
"607","麦哲伦奉献：海上钻井平台","2016-12-24 12:24","1155","3","2","39",28,210,2,1,"BBC
麦哲伦","一个人类伟大的发明和建筑。"
"608","【公视纪录片】我们的岛 - 外来鸟回旋曲 (公共电视)","2016-12-24 12:19","54","0","1","5",7,34,0,0,"台湾
环境
纪录片
公共电视
公视
鸟类
外来鸟回旋曲
我们的岛","youtube 【公视纪录片】我们的岛 - 外来鸟回旋曲 (公共电视)

在原生的环境，它们是克服万难的生存者。身在异乡，想要活下去，却不被祝福。引进、饲养、弃养、逸出，不同的物种，重复的回旋，有些鸟类正在改变台湾的天空"
"609","【纪录片】保健品与安全/Frontline Supplements and Safety","2016-12-24 10:55","396","13","5","38",33,822,2,5,"PBS
PBS纪录片","网络 转载自纪录片之家，如题：保健品与安全"
"610","【NHK】员工午餐 - 吃午餐啦 Lunch ON!（英语生肉）S2 EP2（低清）","2016-12-24 10:03","1813","3","4","33",529,18151,3,1,"社会
文化
人文
生活
美食
Lunch ON!","吃午饭啦～ 看看大家的午餐吃什么，我们会发现什么呢？
01集：av7652242"
"611","【RTHK香港电台】有种信念，叫跑：通勤跑 - 葛行辉| 5K名人挑战赛 - 林海峰【粤语中字】#1","2016-12-24 09:06","359","2","2","14",159,675,0,0,"林海峰
跑步
RTHK","https://www.youtube.com/watch?v=E_ohGtZpc8w 大叔愛跑山(通勤跑)
繁忙的一天始於早上，大家都在此時為上班或上學而追車；忙碌的香港人更是每天早上都在路上奔馳，於是「跑」便成為了都市人生活中的例行公事。然而，正當大家在與時間競賽之際，卻有人選擇避開排山倒海的人羣，以另類的方式起步－「通勤跑」。「通勤跑」是日語漢字，出自日本作家關家良一的著作，有跑步上班的意思。外號「史丹利店長」的服裝店主管葛行輝，在09年因醉心於山巒之美而愛上跑步，並發掘了一條穿越山林、直"
"612","CCTV新闻 大型电视纪录片 鸟巢","2016-12-24 04:39","533","1","1","21",50,60,2,0,"CCTV
鸟巢
纪录片
2008
北京奥运会
筑梦","鸟巢  梦诞生的地方 记录鸟巢从建起来 到诞生 奥运赛事运用全过程。。"
"613","CCTV体育纪录片【一个城市的奥运记忆】全十集","2016-12-24 03:56","143","0","0","11",50,60,0,2,"CCTV
纪实
奥运会
纪录片
记忆
博尔特
2008
菲尔普斯
北京奥运会
2008北京奥运会","转自KU6视频   转自KU6视频    画质相当一般  时间久远理解下  。。。。。
《一个城市的奥运记忆》是中央电视台新闻频道为2008年北京奥运会制作的10集大型系列纪录片。该片每集45分钟，围绕10个不同主题，记录北京奥运会期间赛场内外的精彩瞬间及背后故事，深入展示中国人民对奥运的巨大热情和本届奥运会所取得的丰硕成果。"
"614","探索频道：动物末日（国语）","2016-12-24 03:52","2206","41","5","77",579,1542,2,1,"恐龙
霸王龙
翼龙
邓氏鱼
暴龙
鳄鱼
猛犸象
海蝎子
洞狮
苏门答腊豹","http://i.youku.com/i/UMzk0Njc1NTk2 探索频道：动物末日（国语）"
"615","未來都市Cities of Tomorrow 粤语中字 翡翠台 TVB 明珠台 纪录片 @猫头鹰博士Dr.Owl","2016-12-24 02:50","1308","10","2","49",1,145,3,1,"BBC
TVB
纪录片
明珠台
高清翡翠台
粤语中字","粤语中字 高清翡翠台 TVB 明珠台 纪录片 BBC 高清 自然科学 探索频道 科学 科普纪录 粤语中字 高清翡翠台 TVB 明珠台 纪录片 BBC"
"616","动物星球：野性俄罗斯","2016-12-24 02:00","666","21","3","28",579,1542,0,1,"老虎
虎鲸
灰熊
北极熊
棕熊
西伯利亚虎
东北虎
黑熊
阿穆尔虎
远东豹","http://i.youku.com/i/UMzk0Njc1NTk2 动物星球：野性俄罗斯"
"617","【纪录片】一部青春电影是怎样诞生的？我们不曾了解过的梦想和故事 【夏梦怡作品】","2016-12-24 00:56","1239","19","23","52",9,1640,22,4,"谁的青春不迷茫
纪录片
电影纪录片","UP主的作品 《谁的青春不迷茫》纪录片《迷途》BY 纪录片导演 夏梦怡Grace"
"618","国家海洋局《中国南极记忆》30集全","2016-12-24 00:50","556","6","0","52",6,13,8,0,"科学组
地质学
天文学
南极大冒险
气象学
地球物理","国家海洋局 国家海洋局《中国南极记忆》"
"619","宅人食堂第二季 绿岛料理人","2016-12-24 00:36","103000","3051","672","3779",67,21173,216,275,"宅人食堂
治愈
吃货
小清新
美食
深圳卫视","《宅人食堂》是一档由深圳卫视出品电视节目，该节目是中国电视圈首部互联网美食生态纪录片，它采用微电影的拍摄风格，回到美食的起点，还原隐藏在食物背后最真实的文化与情感。每周六24点更新。"
"620","自然世界：美洲豹","2016-12-24 00:29","229","1","0","6",579,1542,0,1,"美洲虎
美洲豹","http://i.youku.com/i/UMzk0Njc1NTk2 自然世界：美洲豹"
"621","国家地理：猎豹兄弟档","2016-12-23 23:51","130","2","0","7",579,1542,0,0,"猎豹
花豹
非洲豹","http://i.youku.com/i/UMzk0Njc1NTk2 国家地理：猎豹兄弟档"
"622","【NHK纪录片】纪实七十二小时 美食向8集高清【诸神字幕组】","2016-12-23 22:27","9846","192","24","503",130,4644,5,16,"NHK纪录片
高清
美食
纪实七十二小时
合集","网络资源 《纪实72小时》（日文：ドキュメント72时间）是日本放送协会（NHK）制作出品的纪实节目。每集选择一个特定的地点，连续72个小时进行采访拍摄。人来人往的街角，擦肩而过的背后，镜头截取的是人间百态。"
"623","没有人的文明 Homo sapiens 【2016】【纪录片】【奥地利】","2016-12-23 22:23","18000","767","91","2459",313,15067,39,65,"纪录片","http://www.dysfz.net/movie15481.html 没有人的文明 Homo sapiens 【2016】【纪录片】【奥地利】简介：一部无对白的纪录片，但与罗恩·弗里克的《天玄地黄》《轮回》的不同之处在于，这位奥地利导演反其道而行，关注的是被毁灭地球后的人类去了哪里。大不同你在荷里活大片碰到的新巴洛克式人工破坏，反击其实是大自然。视觉慢慢抵达未来，文明的颓垣败瓦，不在问：人类哪里去了？而是问：我们究竟走到哪个地步啊？"
"624","【看中医】晕眩、咳嗽、保养肾、高血脂","2016-12-23 22:20","472","1","1","71",239,1014,1,4,"文化
中国
纪录片
科普
养生保健
中医百草
慈济","预防「晕眩」，首先要增强人体的正气，平时要有规律的作息、充足的睡眠，适度做养生运动，并且保持心情舒畅。在饮食方面，三餐定时定量，切忌暴饮暴食，避免伤脾伤肾的食物，并且戒除淤酒；在体力方面，要劳逸适度，工作与休閒并重，避免体力和脑力过度劳累。在眩晕发作时，病患宜选择合适的姿势休息，卧室要保持绝对安静，光线尽量暗，空气保持通畅。此外， 也要避免突然强力的头颈部运动，减少眩晕的发生。"
"625","【CCTV-《远方的家》】一带一路系列节目 新加坡篇(11集全，超清)","2016-12-23 22:16","1542","10","1","91",46,325,5,1,"CCTV
丝绸之路
新加坡
马六甲
一带一路","走进高楼林立的中央商务区，这里是新加坡的中心；来到金沙酒店顶层的无边泳池，俯瞰整个新加坡。位于高楼大厦间的老巴刹，这里是新加坡的美食聚集地。"
"626","【PBS】地球宝藏-金属篇【双语字幕】【背锅字幕组】","2016-12-23 21:11","1688","37","20","170",56,18903,14,6,"化学
PBS
自然
地球
金属
纪录片
背锅字幕组","网盘 欢迎关注微博@背锅字幕组。从永垂不朽的黄金，到可以用来消毒的铜；从青铜的产生，到越王勾践剑；从北京鸟巢，到垃圾造钢；以及充满未来元素的材料：泡沫金属和石墨烯……金属曾无数次改变人类的生活，这种趋势也将一直延续下去。"
"627","【经典传奇】现代摸金校尉大揭密","2016-12-23 20:59","2734","38","3","23",166,557,8,3,"走近科学
经典传奇
摸金校尉","优酷  161223_标清"
"628","【经典传奇】杨家湾兵马俑之谜","2016-12-23 20:40","357","0","0","2",166,557,1,0,"走近科学
经典传奇
兵马俑","优酷  161222_高清"
"629","【NHK纪录片】美之壶 高清10集【诸神字幕组】","2016-12-23 19:58","2870","13","11","492",130,4644,9,5,"建筑
NHK纪录片
美之壶
风景
高清
料理
美食
合集
工艺美术","网络资源 《美之壶》是向大家介绍生活中各种隐藏之美的全新艺术鉴赏节目，涉及日本建筑、料理、工艺美术、风景等多个方面，定能让您全方面的了解日本文化。
“壶”在日本语里，除了有汉语“壶”的意思之外，亦有“要点、关键”的意思。历史上，日本本土文化在外来文明之新风的吹拂下，不断绽放出日本所独有的文化之花。节目把日本文化的美之元素以及鉴赏法，通俗易懂地分成若干个“要点、关键点”（即：壶的含义），随着悠扬的爵士乐，日本文化的形式之美，以及与古今东西美丽事物的配合之妙，将会在节目中，向观者娓娓道来。"
"630","上海纪实频道【纪录片编辑室】人鸟之争","2016-12-23 19:20","120","0","1","10",105,542,0,1,"纪录片编辑室
候鸟
东滩","腾讯 这里是千百万候鸟迁徙途中的生命绿洲，这里也是它们惨遭屠杀的死亡之地。捕杀、开垦，栖息地不断缩小，候鸟的迁徙面临前所未有的威胁。一边是急待发展的当地居民，一边是往来迁徙数百万只候鸟，保护与开发究竟孰轻孰重？人与自然又究竟能否和谐共生？让我们一起走进崇明，走进东滩湿地。"
"631","【探索频道(HD)】河中巨怪：无影杀手 (2016)【中文字幕】","2016-12-23 18:48","2357","35","9","39",227,5024,4,4,"DISCOVERY探索频道
河中巨怪第八季
国际版 英语中字","TV录制片 马妮提供 River Monsters  Special: Invisible Killers  (2016) 河中巨怪：无影杀手
节目介绍:
本节目要深入探究各种神秘的河中生物，这种近乎超自然的怪物平时栖身于地球蜿蜒的水道中，在水底到处进食，最后长成惊人的体积。这趟神秘的动作冒险之旅不仅透露出大自然黑暗的一面，更有精彩刺激的追逐，以及人类与动物的挣扎搏斗。
**续第8季海洋篇6集后播出的特集，DSC节目表没注明第几集**"
"632","【公共电视】死亡代言人-公视主题之夜-揭秘【中文字幕/高清】【一集全】","2016-12-23 18:40","431","0","1","32",13,51,1,2,"高清
中文字幕
科普
公视主题之夜","www.pilipili.com 公视审酌世界主流电视趋势，并针对目前深度新闻性节目之缺失，就民众关心议题，细心规划，广泛蒐集，制作一系列既有宏观视野，又具深度趣味的新闻性节目，取名【公视主题之夜】。每集将播出九十分钟，前六十分钟播出一部长一小时，以议题或人物为主题的纪录片。后半小时的棚内延伸访谈，由主持人与专家学者针对节目主题进行讨论分析。这段针对纪录片主题所制作的延伸访谈，将还原事实真相，提供多元视角与深入省思，是节目精华所在。"
"633","【旅游(HD)】Xtreme Xmas Sp 极限圣诞节特辑【中文字幕】","2016-12-23 18:12","331","1","1","12",227,5024,0,1,"圣诞节特辑
旅游频道
国际版 英语中字","TV录制片 马妮提供 [Travel Channel] Xtreme Xmas Sp 极限圣诞节特辑
从加州圣诞冰王国到涡轮增压的人造圣诞老人雪橇，Xtreme Xmas让观众进入美国最疯狂，最疯狂和令人鼓舞的圣诞庆祝活动"
"634","海上恩仇录 帮会争霸 （一）","2016-12-23 17:56","167","1","0","9",8,9,0,0,"不错哦","凤凰大视野 不错"
"635","【伟大自然】英国大地6000万年的POWER_日字带假名","2016-12-23 17:33","253","2","2","18",82,2504,1,0,"伟大自然
グレートネイチャー","★ 更多日字视频尽在公众号「秋秋字幕组」（suminglc），直播也在公众号提前通知。"
"636","[中日字幕] 纪实72小时 七千人汇集的世界冲绳人大会 161216 [NHK纪录片]","2016-12-23 17:14","16000","425","137","826",13,4990,229,17,"纪实72小时
NHK
纪录片
ドキュメント72時間","自翻 | 旁白 吹石一惠 | 街上有跳着桑巴舞的大爷和跳着夏威夷舞蹈的奶奶..这是从冲绳奔向世界的7300名移民一同归乡举行的“世界冲绳人大会”。大会期间，那霸街头上各国语言交汇。远渡重洋去往南美，期望大赚一笔的先生、战后被美军赶出自有土地的老人、身为第三代移民却能讲一口流畅的冲绳方言的年轻女士...我们在大会中最为沸腾的那霸国际大道上拍摄了三天，试着去倾听这些移民的心声。"
"637","【纪录片】舌尖上的越南（越南语/粤语）Taste of Vietnam 14集","2016-12-23 15:58","5002","48","4","136",529,18151,5,8,"旅行
社会
文化
人文
美食
舌尖上的越南","1-10合集：av7581253，11集：av7595795，12集：av7624558，13集：av7638848
带你了解越南的美食，风景，文化，跟着镜头出发吧～
共23集"
"638","《故事里的鄱阳》","2016-12-23 15:43","378","0","0","15",6,8,7,1,"鄱阳","北纬28°栏目 上饶电视台北纬28°栏目关于鄱阳的电视专题片"
"639","【新日本风土记】新宿花园神社_日字带假名","2016-12-23 15:30","546","1","9","42",82,2504,4,0,"日本
新宿
花园神社
日本风土记
新日本风土记","★ 更多日字视频尽在公众号「秋秋字幕组」（suminglc），直播也在公众号提前通知。"
"640","行者 【2014】【纪录片】【台湾】","2016-12-23 15:24","1009","9","4","96",313,15067,4,0,"纪录片","http://www.dysfz.net/movie15463.html 行者 【2014】【纪录片】【台湾】简介：新锐女导演燕青拍摄的国内首部纪录，一部关于台湾现代舞蹈家李丽珍的纪录片，导演陈芯宜用了十年记录而成。该片主要以记实的手法，描绘了行者的生活状态与心灵历程，取材大胆真实，风格特立独行。"
"641","【480P】神風特攻隊全彩實錄Discovery Channel","2016-12-23 14:41","1074","24","5","68",61,337,5,3,"日本
美国
二战
神风特攻队","来自探索频道 Discovery Channel 。

全彩的二战纪录片。"
"642","【EF字幕组】CNN未知之旅 parts unknown 丹麦哥本哈根 Noma餐厅 高清双语","2016-12-23 14:22","1952","25","15","146",130,24559,7,8,"丹麦
CNN
美食纪录片
哥本哈根
EF字幕组
未知之旅
安东尼·波登
高清双语
Parts Unknown","@EF字幕组 Noma餐厅曾三度被评选为全球最佳餐厅 -- 在丹麦这样一个不追捧创新与异类的地方，Noma餐厅是怎样脱颖而出的呢？主厨雷内用出人意料的方式收集地道但鲜有先人使用的原材料，带给顾客们一重又一重惊喜。（到新浪微博：@EF字幕组，私信“未知之旅”，下载《未知之旅》所有剧集》）"
"643","【CCTV】自然传奇  饕餮盛宴","2016-12-23 14:21","882","5","1","17",394,1683,0,0,"企鹅
CCTV
动物
海豹
虎鲸
自然传奇
南极洲","CCTV 本期节目主要内容：南极洲，企鹅、海豹、虎鲸、须鲸等共同生活。虎鲸是一个谨慎、狡猾而又凶残的捕食者，即使是大型食肉动物海豹，也会为自己担忧。冰天雪地里的饕餮盛宴拉开了序幕。（《自然传奇》 20161222 饕餮盛宴）"
"644","【CCTV】自然传奇  眼镜王蛇","2016-12-23 14:20","925","2","0","9",394,1683,3,0,"CCTV
印度
蛇
自然传奇
眼镜王蛇
生物链条
高止山","CCTV 本期节目主要内容： 高止山是世界上最潮湿的地区之一。川流不息的河水，为生活在这里的生命提供了生活保障，也孕育了数不清的物种。这些物种共同组成了当地的生物链条，循环往复，生生不息。而眼镜王蛇则是这片野生世界的统治者。两条眼镜王蛇，被印度雨林研究专家高瑞和世界知名爬虫学专家朗姆，植入了小型无线电发射器。这次实验，揭开了眼镜王蛇不为人知的一面。 （《自然传奇》 20161221 眼镜王蛇）"
"645","【CCTV】大家  天文学家 王绶琯 20121221","2016-12-23 14:18","108","0","2","10",394,1683,0,0,"CCTV
历史
天文学
天文学家
大家
中国射电天文学
王绶琯","CCTV 他是一位93岁高龄的老人，眼花耳聋身子骨儿脆弱，幽默地自称“像个易碎的古董玻璃瓶子”，而衰老的身躯里却藏着一颗依然璀璨的灵魂和一个宏大而长远的梦想——为国家发现和培养科学人才。他就是中国射电天文学领域的开创人，天文学家王绶琯。 王绶琯早年在福建马尾海军学校修习造船技术，曾留学英国皇家格林尼治海军学院，主攻航空母舰的设计。如果不是因为格林尼治天文台就坐落在海军学院隔壁，对原本就热爱天文的王绶琯形成强烈吸引，他很可能压根儿不敢想象放弃苦学14年的航海和造船技术，改投天文学的怀抱。"
"646","【CCTV】人物  电影大师 孙瑜","2016-12-23 14:17","59","0","0","7",394,1683,0,0,"CCTV
人物
电影
历史
导演
孙瑜
电影诗人","CCTV 孙瑜是一位“电影诗人”，他一生中拍摄了很多以积极视角来描绘中国的电影。梅尔教授希望把这些电影里的美学传播到西方，让西方的人们理解这种优秀的电影作品。孙瑜一直坚持从事电影工作，创造了中国电影史上多个“第一”——中国电影史上第一首电影插曲《寻兄词》，土法研制了中国第一台摄影升降机，率先在“复兴国片”运动中打响第一枪。“诗人导演”孙瑜用自己一生追求，给今天电影创作者们带来启迪。时代变迁、战火洗礼，让我们走进今天的《人物》，感受导演孙瑜不一样的诗意人生吧！ （《人物》 20161222 电影大"
"647","对话索尔仁尼琴 俄语中字","2016-12-23 13:57","348","3","7","59",35,102,0,2,"哲学
俄罗斯
索尔仁尼琴
俄罗斯的良心","转自土豆  对话索尔仁尼琴，推荐大家看看他的《伊凡 杰尼索维奇的一天》"
"648","国宝档案_清明上河图【2005】","2016-12-23 13:54","826","2","1","35",7,20,1,0,"央视纪录片
历史
清明上河图
国宝档案","cntv 清明上河图为北宋风俗画，北宋画家张择端仅见的存世精品，属国宝级文物，现藏于北京故宫博物院。清明上河图宽25.2厘米，长528.7厘米，绢本设色。作品以长卷形式，采用散点透视构图法，生动记录了中国十二世纪北宋汴京的城市面貌和当时社会各阶层人民的生活状况。是汴京当年繁荣的见证，也是北宋城市经济情况的写照。这在中国乃至世界绘画史上都是独一无二的。在五米多长的画卷里，共绘了814个各色人物，牛、骡、驴等牲畜73匹，车、轿二十多辆，大小船只二十九艘。房屋、桥梁、城楼等各有特色，体现了宋代建筑的特"
"649","[Just Planes]瑞士航空 MD-11 南美之旅 吐槽哥早期作品【生肉】","2016-12-23 13:47","685","2","2","27",19,137,1,4,"瑞士航空
MD-11
妖妖
吐槽哥
Thomas Frick
Just Planes","种子 吐槽哥的早期作品，当时他为瑞士航空MD-11机队机队长。这是一趟6天的长程出勤，路线为：苏黎世-圣保罗-布宜诺斯艾利斯-圣保罗-苏黎世。视频前的瑞航MD-11机队介绍中，1998年摔掉的那架HB-IWF短暂出镜。"
"650","国家地理-希特勒最后时日全集","2016-12-23 13:43","890","6","2","56",4,16,2,2,"二战纪录片
希特勒纪录片","纪录片天地 这个两小时特别节目记录了欧洲战场最后一年的战事，从1944年6月的诺曼第登陆，到1945年5月德国投降。重新上色的档案影像，让世人得以见识这十一个月的空前激战，最终造成希特勒之死与第三帝国的瓦解。"
"651","国宝档案_何尊 [2005]","2016-12-23 13:43","246","2","1","10",7,20,3,1,"央视
纪录片
国宝档案","cntv 何尊，中国首批禁止出国展览文物、国家一级文物，是中国西周早期一个名叫何的西周宗室贵族所作的祭器。1963年出土于陕西省宝鸡市宝鸡县贾村镇(今宝鸡市陈仓区)，收藏于中国宝鸡青铜器博物院。尊内底铸有铭文12行、122字铭文，其中宅兹中国为""中国""一词最早的文字记载，记述的是成王继承武王遗志，营建东都成周之事。尊高38.8厘米，口径28.8厘米，重14.6公斤。圆口棱方体，长颈，腹微鼓，高圈足。腹足有精美的高浮雕兽面纹，角端突出于器表。体侧并有四道扉棱。造型浑厚，工"
"652","【CCTV】地理中国  斑斓奇谷（上、下）","2016-12-23 13:05","197","0","1","6",394,1683,0,1,"CCTV
新疆
峡谷
地理中国
新疆沙湾县
河流阶地
天山北麓","本期节目主要内容： 在新疆天山北麓的沙湾县境内，近年来一座隐秘的峡谷引起了人们的关注，不同于一般峡谷拔地而起、直插云霄的形态，这座峡谷看起来仿佛是从平坦的戈壁草原上骤然下陷，好似大地裂谷一般。而且，在它的深处，色彩斑斓的崖壁自然衔接，颜色不同的河流纵横交错，奇特景象令人惊奇。为了解开彩色峡谷的成因之谜，本期摄制组随同地质专家前往沙湾县展开调查。（《地理中国》 20161220 斑斓奇谷（上））　"
"653","【CCTV】“复活”的湖泊（2016）【全一集】","2016-12-23 12:45","430","5","1","13",170,4797,4,0,"CCTV
湖泊","CCTV 每当夏季到来，吐鲁番的空气便开始变得极度灼热；地表干涸龟裂、寸草不生。一年中最炎热的季节，却也正是吐鲁番的葡萄成熟的时节。然而，今年夏天，这些葡萄园中的景象，却显得不同寻常。一场漫长的酷热之后，今年吐鲁番的葡萄竟然提早成熟了。与葡萄早熟同时出现的，还有更令人费解的景象。就在吐鲁番市区以南大约30千米的地方，上世纪60年代就已经干涸的艾丁湖，竟然再度变得水量充盈、碧波万顷。在极度燥热干旱的季节里，艾丁湖为何重新焕发了新生？吐鲁番的葡萄又为何会提早成熟？"
"654","【新日本风土记】藏王_20161222_日字带假名","2016-12-23 10:59","403","1","5","25",82,2504,6,2,"日本
风土
藏王
日本风土
日本风土记
新日本风土记","★ 开头的声音是松隆子，我去藏王滑过雪，超喜欢这期，画面超美，有想要高清原片的公众号求。

更多日字视频尽在公众号「秋秋字幕组」（suminglc），直播也在公众号提前通知。"
"655","空中格斗-Dogfights-S1E05【中文字幕】","2016-12-23 10:31","1935","14","16","62",142,971,4,5,"历史频道
空中格斗","ed2k 听译 空中格斗 第一季 第五集 “河内炼狱”
我发誓这是整个系列最后一集讲越南空战和鬼怪的了，诸位看得烦我翻得更烦。另外由于本人要备考所以在考完前应该不会更新了（反正剩下的11集大家应该也看过了）···
封面 by Mark Karvon"
"656","【NHK】同事便当 - 吃午餐啦 Lunch ON!（英语生肉）S2 EP1","2016-12-23 10:18","2713","32","4","77",529,18151,1,1,"社会
人文
美食
Lunch ON!","与同事一起吃午饭，更能增进友谊～

吃午饭啦～ 看看大家的午餐吃什么，我们会发现什么呢？"
"657","【探索频道(HDW)】顶级订做（1）： 笔 Bespoke：Pens【中文字幕】","2016-12-23 10:04","2853","28","4","160",227,5024,8,3,"探索频道
国际版 英语中字
顶级订做","TV录制片 马妮提供 [Discovery HD World 頻道] Bespoke：Pens 顶级订做（1）： 笔 
《顶级订做》探索大量生产产品所需的工业专长，以及工匠如何运用熟稔的技巧，创造出客制产品。《顶级订做》由贾斯汀布拉顿主持，访问专家、深入了解这些产品背后的工程技术，向多年沿袭下来的工艺致敬。"
"658","【纪录片】纪实72小时 冲绳七千人的冲绳人大会 16.1216 【花丸字幕组】","2016-12-23 10:00","2702","52","45","164",217,22282,20,5,"纪实72小时
NHK
纪录片
花丸字幕组","为桑巴舞狂热的大叔，跳起草裙舞的大妈...曾经离开冲绳飞往世界各地的7300人移民一同回到故乡参加世界冲绳人大会。大会期间，那霸市的街道里能听到各个国家的语言。他们有去南美捞金的男人，战后被美军驱逐出去的老人和说一口流利冲绳腔的第三代年轻人等等。大会中最热闹的莫过于那霸的中心国际大街，这里人声鼎沸，随处可见拿着相机的人的身影。"
"659","【国家地理】经典自然纪录片集合【熟肉】","2016-12-23 09:47","243","1","1","27",296,5269,0,1,"海洋纪录片","网络 经典海洋纪录片集合"
"660","【RTHK香港电台】非常宅：前居后铺【粤语中字】#6","2016-12-23 09:04","810","1","0","28",159,676,0,0,"RTHK
非常宅","https://www.youtube.com/watch?v=u1OcqxOkWs0 阿心和AJ這兩名90後的男生，因為希望獨立生活，所以早在大學一年級時已搬離父母的家，並同時開始打散工來賺錢付房租。他們以往分別住在劏房和工廈，直到畢業後因工作才認識。後來，同樣想創業的兩人，便合租商住單位，過着前居後舖的生活。"
"661","【音乐纪录片】杰奎琳·杜普雷【生肉】","2016-12-23 08:14","291","3","7","46",225,3294,5,3,"古典音乐
大提琴
宫崎葵
杜普雷","https://youtu.be/ys1hLa0y2z 
Who was Jacqueline du Pré? | by AllegroFilms"
"662","【纪录片】圣经捕手 第一集【720p】【双语特效字幕】【纪录片之家字幕组】","2016-12-23 07:56","12000","244","82","2866",201,160070,231,41,"特效字幕
基督教
圣经
纪录片之家字幕组","@纪录片之家字幕组 在本系列中，我们将跟随圣经捕手的足迹去找寻古老的手稿，验证新约中耶稣的故事，圣经捕手的发现将挑战世人对圣经的看法，考验圣经是否上帝真言的信念。第一集讲述探寻古卷的早期历程。

纪录片之家字幕组译制"
"663","纪录片.WDR.圣诞奇境.Christmas.Winter.Wonderland.2014[生肉]","2016-12-23 06:35","461","4","3","58",786,13877,2,3,"WDR","WDR 【纪录片.WDR.圣诞奇境.Christmas.Winter.Wonderland.2014】"
"664","纪录片.BBC.切尔诺贝利的巨型坟茔.Inside.Chernobyl's.Mega.Tomb.2016[高清][生肉]","2016-12-23 06:00","5516","128","12","348",786,13877,12,9,"BBC
切尔诺贝利","BBC 【纪录片.BBC.切尔诺贝利的巨型坟茔.Inside.Chernobyl's.Mega.Tomb.2016】"
"665","[PBS Nature] India's Wandering Lions [raw 生肉]","2016-12-23 03:02","129","2","0","6",4,1,0,0,"印度
PBS纪录片
亚洲狮
Asiatic Lion","油管 https://www.youtube.com/watch?v=DEqkpwqIh_Q 
神奇的国度。片里村民对待野生动物的态度令人想起一个美国狼群的记录片子，狼群只是在山里攻击野生鹿群，就已引起大量持枪人士愤恼追杀。而此片里的印度村民，住在简陋的棚房，没有车，没有枪，赖以生存的家畜被攻击，却将狮子的回归称为blessing。他们有时围观庆祝，有时骑着机车对路边俯卧的肉食动物、草食动物视若无睹。而野生动物似乎也被打上这种印度式慵懒，你干你的，我躺我的。在非洲野生动物已成cliche的今天"
"666","【重温纪录片】《柞蚕》(1949年东北电影制片厂出品)","2016-12-23 02:09","820","14","4","39",239,1014,10,5,"历史
教育向
文化
中国
科普
纪录片
老电影
东北电影制片厂","直传 
柞蚕（Antheraea pernyi；tussah）zuòcán，鳞翅目大蚕蛾科柞蚕属。古称春蚕、槲蚕，也叫山蚕。一种吐丝昆虫，因喜食柞树叶得名。柞蚕属完全变态昆虫，一个世代经卵、幼虫、蛹、成虫4个发育阶段，仅幼虫期取食，以蛹越冬。茧可缫丝，主要用于织造柞丝绸。蛹可食用，可做药材。"
"667","【NHK纪录片】史上最大的彗星_日字带假名_20161222","2016-12-22 23:31","877","9","5","54",82,2504,7,1,"NHK纪录片
NHK
NHK节目
彗星","★ 更多日字视频尽在公众号「秋秋字幕组」（suminglc），直播也在公众号提前通知。"
"668","【召唤野生字幕菌】[国家地理频道：希望之钻的秘密]【生肉】","2016-12-22 23:12","236","0","2","24",1,2,3,1,"人文
历史
召唤野生字幕菌","国家地理频道 国家地理出品，讲述稀世珍宝希望之钻的前世今生"
