"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"27","【纪录频道】《自然的力量》05 直播回放","2017-01-04 22:07","1705","29","119","34",28,57928,93,9,"央视
生命
自然
中国
纪录片","《自然的力量》哔哩哔哩直播回放，《自然的力量》总导演李文举偕主创团队与大家边看边聊。明晚19:30就是最后一集啦，大家不见不散！~"
"28","【2010英国纪录片】【狗狗的秘密(狗狗秘闻)】【高清1280版BD-RMVB.中英双字】","2017-01-04 22:02","734","4","2","41",21,36,5,1,"狗狗
纪录片","百度云 爱狗狗"
"29","【CCTV纪录片】火焰上的歌者 5集全","2017-01-04 21:29","100","0","1","25",962,11483,2,2,"CCTV
国歌
历史
纪录片
聂耳","网络 本片为纪念聂耳诞辰100周年庆祝活动的重要组成部分，摄制组沿着聂耳的足迹进行了为期1年的实地拍摄，跨越中日两国，采访了40多位专家、学者和亲历者的后人，拍摄了一百多小时的素材，全面真实地再现了聂耳短暂而辉煌的人生历程。纪录片以聂耳日记为线索，用聂耳自身的质朴语言，展现其爱国进步、关注民生、勤奋向上的情怀。"
"30","【探索频道】现代鲁宾逊 第一季【中文字幕】","2017-01-04 21:17","1510","16","3","65",1,5,4,0,"求生
现代鲁宾逊","每天一小时纪录片 《现代鲁宾逊 Survivorman》的主角是加拿大电影人及生存专家Les Stroud，他必须在只有少量或没有食物和设备支持的条件下，独自一人运用生存技能在指定地点生存七天"
"31","【纪录片】池鱼（Aji） - 筑地寻味（粤语中字）07集","2017-01-04 19:44","1632","9","8","62",529,18137,4,4,"社会
文化
人文
美食
筑地寻味","筑地市场，东京历史悠久的大型市场。那里有哪些好吃的料理？又有什么有趣故事。
 
01集：av6426029，02集：av6433538，03集：av6444570，04集：av6456265 
05集：av7781768，06集：av7805647

转载"
"32","【CCTV9】自然的力量 【全五集】【1080P】","2017-01-04 18:59","574","14","7","55",9,164,4,3,"纪录片","《自然的力量》是中央电视台出品，李文举执导的六集自然类纪录片，该片自2012年启动制作，历经五年，目前已制作完成。全片以国际通行的自然类纪录片的拍摄手法和技术标准进行拍摄制作，拍摄点50多个，囊括中国四大无人区等最为人迹罕至的地区，行程数十万公里，野外拍摄总时间超过500天，记录了藏羚羊、雪豹、野牦牛、长臂猿、亚洲象以及中国南海等丰富多彩的生态故事，呈现了中国生态多样性之不可多得，举世唯一。"
"33","CNN 未知之旅  美国密西西比州 Parts Unknown 高清双语 【EF字幕组】","2017-01-04 18:00","848","4","8","48",130,24551,6,0,"CNN
美食纪录片
安东尼·波登
EF字幕组
未知之旅
高清双语
密西西比
Parts Unknown","@EF字幕组 美国密西西比州，一个守旧、有着黑暗历史的州。安东尼说，我去过了那么多地方，爱上了那么多与纽约不同的文化，为什么我就不能爱上密西西比呢？从他的看看这里到底是怎样的。（到新浪微博：@EF字幕组，私信“未知之旅”，下载《未知之旅》所有剧集》）"
"34","【纪录片】法王路易十四之雄心大夢：凡爾賽宮 (1)","2017-01-04 17:55","485","4","1","32",2,3,1,0,"bbc纪录片","土豆网 这部记录片再现了法国历史上最著名的国王 路易十四的人生和爱情。太阳王路易十四征服了大半个欧洲，他的风骚佳话，骄奢淫逸至今仍为人津津乐道。但是他最大的成果，他平生最长期的寻求倒是他在凡尔赛所建的光辉尽伦的宫殿。"
"35","HISTORY ALONE S1E1 生肉  TVSIZE","2017-01-04 17:21","105","3","0","4",2,4,2,0,"纪录片","美国历史频道是继国家地理 探索外另一大纪录片频道，多以迷你短剧来再现历史，如描写淘金热《克伦威尔》和即将播出的《海豹六队》等。《alone》首播于2015年，规则很简单，看谁能依靠节目组提供的有限装备在野外环境下坚持到最后不退出，就是胜利者，获胜者能获得50万美元的奖金。第一季的地点是位于加拿大的温哥华岛最北端的森林中。比赛者不但要面对低温，阴雨更要直面凶猛的野生动物。本节目的拍摄方式与《现代鲁滨逊》《单挑荒野》相同，均为节目组提供"
"36","《远方的家》 一带一路-马来西亚系列[1080P]","2017-01-04 17:17","1319","23","6","76",3,76,7,2,"央视纪录片
马来西亚
纪录片","https://www.youtube.com/watch?v=lVs6ynTXURs&t=19s 《一带一路》是央视《远方的家》栏目推出的第八部大型系列特别节目。这里是马来西亚系列的合集，片源是1080P，欢迎观看。"
